ALPHA	PCA	ERROR	
0.1	10	11.730000	
0.1	20	6.290000	
0.1	30	5.640000	
0.1	40	5.540000	
0.1	50	5.590000	
0.1	60	6.120000	
0.1	70	6.170000	
0.1	80	6.260000	
0.1	90	6.640000	
0.1	100	6.800000	
0.2	10	11.490000	
0.2	20	5.990000	
0.2	30	5.100000	
0.2	40	5.180000	
0.2	50	5.150000	
0.2	60	5.530000	
0.2	70	5.600000	
0.2	80	5.720000	
0.2	90	6.110000	
0.2	100	6.120000	
0.3	10	11.300000	
0.3	20	5.680000	
0.3	30	4.900000	
0.3	40	4.830000	
0.3	50	4.890000	
0.3	60	5.270000	
0.3	70	5.180000	
0.3	80	5.320000	
0.3	90	5.530000	
0.3	100	5.610000	
0.4	10	11.130000	
0.4	20	5.410000	
0.4	30	4.740000	
0.4	40	4.610000	
0.4	50	4.560000	
0.4	60	4.970000	
0.4	70	4.830000	
0.4	80	4.990000	
0.4	90	5.190000	
0.4	100	5.250000	
0.5	10	10.970000	
0.5	20	5.260000	
0.5	30	4.510000	
0.5	40	4.410000	
0.5	50	4.340000	
0.5	60	4.640000	
0.5	70	4.590000	
0.5	80	4.820000	
0.5	90	4.870000	
0.5	100	4.980000	
0.6	10	10.870000	
0.6	20	5.150000	
0.6	30	4.320000	
0.6	40	4.150000	
0.6	50	4.130000	
0.6	60	4.420000	
0.6	70	4.360000	
0.6	80	4.580000	
0.6	90	4.680000	
0.6	100	4.830000	
0.7	10	10.830000	
0.7	20	5.070000	
0.7	30	4.160000	
0.7	40	4.050000	
0.7	50	3.960000	
0.7	60	4.240000	
0.7	70	4.210000	
0.7	80	4.430000	
0.7	90	4.450000	
0.7	100	4.680000	
0.8	10	10.860000	
0.8	20	4.990000	
0.8	30	4.010000	
0.8	40	3.860000	
0.8	50	3.840000	
0.8	60	4.100000	
0.8	70	4.050000	
0.8	80	4.260000	
0.8	90	4.300000	
0.8	100	4.510000	
0.9	10	10.820000	
0.9	20	4.970000	
0.9	30	3.990000	
0.9	40	3.850000	
0.9	50	3.700000	
0.9	60	3.950000	
0.9	70	3.920000	
0.9	80	4.100000	
0.9	90	4.120000	
0.9	100	4.420000	
1	10	10.820000	
1	20	4.960000	
1	30	3.910000	
1	40	3.750000	
1	50	3.640000	
1	60	3.880000	
1	70	3.850000	
1	80	4.000000	
1	90	4.100000	
1	100	4.300000	
